09:35:09.303 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:26:06.167 |V| Server                        | ServerSocket-UnityServer-Receiver:145 | ServerSocket-UnityServer : accepting, port: 49782
10:26:08.084 |V| Server                        | ServerSocket-UnityServer-Receiver:145 | ServerSocket-UnityServer : accepted
10:26:08.088 |V| Server                        | ServerSocket-UnityServer-Receiver:145 | ServerSocket-UnityServer : connected
10:26:08.131 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:145 | RESUME :: state=AsyncProcessing
10:26:09.496 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:26:09.499 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:26:09.504 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:26:09.504 |I| Launcher                      | :1                 | Subscribing for events
10:26:09.538 |I| Launcher                      | :1                 | Start running backend
10:26:09.542 |V| Launcher                      | :1                 | Waiting connection...
10:26:10.620 |V| Launcher                      | :1                 | Ready!
10:28:07.972 |V| Base                          | :1                 | closing server socket
10:28:07.994 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:28:07.998 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:28:07.998 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:28:07.999 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:28:08.000 |V| Server                        | ServerSocket-UnityServer-Receiver:145 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:28:08.003 |V| Server                        | ServerSocket-UnityServer-Receiver:145 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1275
10:28:08.006 |V| Server                        | ServerSocket-UnityServer-Receiver:145 | ServerSocket-UnityServer: terminated.
10:28:08.006 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:28:13.958 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:28:13.981 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:28:14.009 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:28:14.051 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49793
10:28:14.054 |V| Server                        | ServerSocket-UnityServer-Receiver:153 | ServerSocket-UnityServer : accepting, port: 49793
10:28:16.000 |V| Server                        | ServerSocket-UnityServer-Receiver:153 | ServerSocket-UnityServer : accepted
10:28:16.001 |V| Server                        | ServerSocket-UnityServer-Receiver:153 | ServerSocket-UnityServer : connected
10:28:16.088 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:153 | RESUME :: state=AsyncProcessing
10:28:17.676 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:28:17.678 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:28:17.682 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:28:17.683 |I| Launcher                      | :1                 | Subscribing for events
10:28:17.708 |I| Launcher                      | :1                 | Start running backend
10:28:17.712 |V| Launcher                      | :1                 | Waiting connection...
10:28:18.767 |V| Launcher                      | :1                 | Ready!
10:30:14.885 |V| Base                          | :1                 | closing server socket
10:30:14.911 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:30:14.918 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:30:14.918 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:30:14.920 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:30:14.921 |V| Server                        | ServerSocket-UnityServer-Receiver:153 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:30:14.923 |V| Server                        | ServerSocket-UnityServer-Receiver:153 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1275
10:30:14.926 |V| Server                        | ServerSocket-UnityServer-Receiver:153 | ServerSocket-UnityServer: terminated.
10:30:14.926 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:30:21.456 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:30:21.477 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:30:21.506 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:30:21.548 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49804
10:30:21.551 |V| Server                        | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer : accepting, port: 49804
10:30:23.457 |V| Server                        | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer : accepted
10:30:23.458 |V| Server                        | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer : connected
10:30:23.509 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:161 | RESUME :: state=AsyncProcessing
10:30:24.933 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:30:24.935 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:30:24.940 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:30:24.940 |I| Launcher                      | :1                 | Subscribing for events
10:30:24.968 |I| Launcher                      | :1                 | Start running backend
10:30:24.973 |V| Launcher                      | :1                 | Waiting connection...
10:30:26.038 |V| Base                          | :1                 | closing server socket
10:30:26.063 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:30:26.065 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:30:26.065 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:30:26.067 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:30:26.068 |V| Server                        | ServerSocket-UnityServer-Receiver:161 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:30:26.072 |V| Server                        | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
10:30:26.075 |V| Server                        | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer: terminated.
10:30:26.075 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:30:34.299 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:30:34.322 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:30:34.355 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:30:34.409 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49807
10:30:34.412 |V| Server                        | ServerSocket-UnityServer-Receiver:169 | ServerSocket-UnityServer : accepting, port: 49807
10:30:35.065 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:30:35.067 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:30:35.072 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:30:35.072 |I| Launcher                      | :1                 | Subscribing for events
10:30:35.107 |I| Launcher                      | :1                 | Start running backend
10:30:35.111 |V| Launcher                      | :1                 | Waiting connection...
10:30:35.834 |V| Server                        | ServerSocket-UnityServer-Receiver:169 | ServerSocket-UnityServer : accepted
10:30:35.835 |V| Server                        | ServerSocket-UnityServer-Receiver:169 | ServerSocket-UnityServer : connected
10:30:35.871 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:169 | RESUME :: state=AsyncProcessing
10:30:37.345 |V| Launcher                      | :1                 | Ready!
10:33:32.389 |V| Base                          | :1                 | closing server socket
10:33:32.410 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:33:32.413 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:33:32.413 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:33:32.414 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:33:32.415 |V| Server                        | ServerSocket-UnityServer-Receiver:169 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:33:32.417 |V| Server                        | ServerSocket-UnityServer-Receiver:169 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1485
10:33:32.420 |V| Server                        | ServerSocket-UnityServer-Receiver:169 | ServerSocket-UnityServer: terminated.
10:33:32.420 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:33:38.402 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:33:38.429 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:33:38.456 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:33:38.498 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49821
10:33:38.500 |V| Server                        | ServerSocket-UnityServer-Receiver:178 | ServerSocket-UnityServer : accepting, port: 49821
10:33:40.410 |V| Server                        | ServerSocket-UnityServer-Receiver:178 | ServerSocket-UnityServer : accepted
10:33:40.416 |V| Server                        | ServerSocket-UnityServer-Receiver:178 | ServerSocket-UnityServer : connected
10:33:40.472 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:178 | RESUME :: state=AsyncProcessing
10:33:42.380 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:33:42.385 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:33:42.390 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:33:42.390 |I| Launcher                      | :1                 | Subscribing for events
10:33:42.418 |I| Launcher                      | :1                 | Start running backend
10:33:42.422 |V| Launcher                      | :1                 | Waiting connection...
10:33:43.431 |V| Launcher                      | :1                 | Ready!
10:33:44.854 |V| Base                          | :1                 | closing server socket
10:33:44.873 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:33:44.878 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:33:44.878 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:33:44.880 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:33:44.881 |V| Server                        | ServerSocket-UnityServer-Receiver:178 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:33:44.885 |V| Server                        | ServerSocket-UnityServer-Receiver:178 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
10:33:44.889 |V| Server                        | ServerSocket-UnityServer-Receiver:178 | ServerSocket-UnityServer: terminated.
10:33:44.889 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:33:53.059 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:33:53.082 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:33:53.113 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:33:53.163 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49826
10:33:53.166 |V| Server                        | ServerSocket-UnityServer-Receiver:186 | ServerSocket-UnityServer : accepting, port: 49826
10:33:53.917 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:33:53.919 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:33:53.924 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:33:53.925 |I| Launcher                      | :1                 | Subscribing for events
10:33:53.958 |I| Launcher                      | :1                 | Start running backend
10:33:53.963 |V| Launcher                      | :1                 | Waiting connection...
10:33:54.613 |V| Server                        | ServerSocket-UnityServer-Receiver:186 | ServerSocket-UnityServer : accepted
10:33:54.616 |V| Server                        | ServerSocket-UnityServer-Receiver:186 | ServerSocket-UnityServer : connected
10:33:54.656 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:186 | RESUME :: state=AsyncProcessing
10:33:56.136 |V| Launcher                      | :1                 | Ready!
10:35:50.615 |V| Base                          | :1                 | closing server socket
10:35:50.635 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:35:50.637 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:35:50.637 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:35:50.638 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:35:50.639 |V| Server                        | ServerSocket-UnityServer-Receiver:186 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:35:50.644 |V| Server                        | ServerSocket-UnityServer-Receiver:186 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1275
10:35:50.647 |V| Server                        | ServerSocket-UnityServer-Receiver:186 | ServerSocket-UnityServer: terminated.
10:35:50.647 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:35:56.769 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:35:56.794 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:35:56.827 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:35:56.870 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49853
10:35:56.872 |V| Server                        | ServerSocket-UnityServer-Receiver:195 | ServerSocket-UnityServer : accepting, port: 49853
10:35:58.784 |V| Server                        | ServerSocket-UnityServer-Receiver:195 | ServerSocket-UnityServer : accepted
10:35:58.787 |V| Server                        | ServerSocket-UnityServer-Receiver:195 | ServerSocket-UnityServer : connected
10:35:58.830 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:195 | RESUME :: state=AsyncProcessing
10:36:00.872 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:36:00.874 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:36:00.879 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:36:00.879 |I| Launcher                      | :1                 | Subscribing for events
10:36:00.909 |I| Launcher                      | :1                 | Start running backend
10:36:00.913 |V| Launcher                      | :1                 | Waiting connection...
10:36:02.254 |V| Base                          | :1                 | closing server socket
10:36:02.272 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:36:02.274 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:36:02.274 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:36:02.276 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:36:02.277 |V| Server                        | ServerSocket-UnityServer-Receiver:195 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:36:02.280 |V| Server                        | ServerSocket-UnityServer-Receiver:195 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
10:36:02.283 |V| Server                        | ServerSocket-UnityServer-Receiver:195 | ServerSocket-UnityServer: terminated.
10:36:02.283 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:36:10.524 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:36:10.550 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:36:10.583 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:36:10.646 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49857
10:36:10.650 |V| Server                        | ServerSocket-UnityServer-Receiver:203 | ServerSocket-UnityServer : accepting, port: 49857
10:36:11.382 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:36:11.385 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:36:11.390 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:36:11.390 |I| Launcher                      | :1                 | Subscribing for events
10:36:11.428 |I| Launcher                      | :1                 | Start running backend
10:36:11.433 |V| Launcher                      | :1                 | Waiting connection...
10:36:12.056 |V| Server                        | ServerSocket-UnityServer-Receiver:203 | ServerSocket-UnityServer : accepted
10:36:12.056 |V| Server                        | ServerSocket-UnityServer-Receiver:203 | ServerSocket-UnityServer : connected
10:36:12.092 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:203 | RESUME :: state=AsyncProcessing
10:36:13.567 |V| Launcher                      | :1                 | Ready!
10:37:59.403 |V| Base                          | :1                 | closing server socket
10:37:59.424 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:37:59.425 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:37:59.426 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:37:59.427 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:37:59.428 |V| Server                        | ServerSocket-UnityServer-Receiver:203 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:37:59.430 |V| Server                        | ServerSocket-UnityServer-Receiver:203 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1275
10:37:59.432 |V| Server                        | ServerSocket-UnityServer-Receiver:203 | ServerSocket-UnityServer: terminated.
10:37:59.432 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:38:05.439 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:38:05.463 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:38:05.490 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:38:05.534 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49867
10:38:05.536 |V| Server                        | ServerSocket-UnityServer-Receiver:212 | ServerSocket-UnityServer : accepting, port: 49867
10:38:07.468 |V| Server                        | ServerSocket-UnityServer-Receiver:212 | ServerSocket-UnityServer : accepted
10:38:07.470 |V| Server                        | ServerSocket-UnityServer-Receiver:212 | ServerSocket-UnityServer : connected
10:38:07.516 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:212 | RESUME :: state=AsyncProcessing
10:38:17.651 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:38:17.677 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:38:17.711 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:38:17.765 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49872
10:38:17.768 |V| Server                        | ServerSocket-UnityServer-Receiver:220 | ServerSocket-UnityServer : accepting, port: 49872
10:38:18.595 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:38:18.599 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:38:18.603 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:38:18.603 |I| Launcher                      | :1                 | Subscribing for events
10:38:18.639 |I| Launcher                      | :1                 | Start running backend
10:38:18.644 |V| Launcher                      | :1                 | Waiting connection...
10:38:19.167 |V| Server                        | ServerSocket-UnityServer-Receiver:220 | ServerSocket-UnityServer : accepted
10:38:19.169 |V| Server                        | ServerSocket-UnityServer-Receiver:220 | ServerSocket-UnityServer : connected
10:38:19.202 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:220 | RESUME :: state=AsyncProcessing
10:38:20.614 |V| Launcher                      | :1                 | Ready!
10:39:02.211 |V| Base                          | :1                 | closing server socket
10:39:02.232 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:39:02.235 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:39:02.235 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:39:02.237 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:39:02.238 |V| Server                        | ServerSocket-UnityServer-Receiver:220 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:39:02.241 |V| Server                        | ServerSocket-UnityServer-Receiver:220 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1686
10:39:02.243 |V| Server                        | ServerSocket-UnityServer-Receiver:220 | ServerSocket-UnityServer: terminated.
10:39:02.243 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:39:08.589 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:39:08.612 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:39:08.644 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:39:08.694 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49895
10:39:08.696 |V| Server                        | ServerSocket-UnityServer-Receiver:229 | ServerSocket-UnityServer : accepting, port: 49895
10:39:10.595 |V| Server                        | ServerSocket-UnityServer-Receiver:229 | ServerSocket-UnityServer : accepted
10:39:10.596 |V| Server                        | ServerSocket-UnityServer-Receiver:229 | ServerSocket-UnityServer : connected
10:39:10.635 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:229 | RESUME :: state=AsyncProcessing
10:39:13.357 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:39:13.359 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:39:13.363 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:39:13.363 |I| Launcher                      | :1                 | Subscribing for events
10:39:13.387 |I| Launcher                      | :1                 | Start running backend
10:39:13.390 |V| Launcher                      | :1                 | Waiting connection...
10:39:14.339 |V| Launcher                      | :1                 | Ready!
10:39:34.486 |V| Base                          | :1                 | closing server socket
10:39:34.505 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:39:34.508 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:39:34.508 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:39:34.509 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:39:34.510 |V| Server                        | ServerSocket-UnityServer-Receiver:229 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:39:34.512 |V| Server                        | ServerSocket-UnityServer-Receiver:229 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
10:39:34.515 |V| Server                        | ServerSocket-UnityServer-Receiver:229 | ServerSocket-UnityServer: terminated.
10:39:34.515 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:39:42.743 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:39:42.768 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:39:42.807 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:39:42.874 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49899
10:39:42.876 |V| Server                        | ServerSocket-UnityServer-Receiver:237 | ServerSocket-UnityServer : accepting, port: 49899
10:39:43.618 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:39:43.621 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:39:43.627 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:39:43.627 |I| Launcher                      | :1                 | Subscribing for events
10:39:43.667 |I| Launcher                      | :1                 | Start running backend
10:39:43.673 |V| Launcher                      | :1                 | Waiting connection...
10:39:44.297 |V| Server                        | ServerSocket-UnityServer-Receiver:237 | ServerSocket-UnityServer : accepted
10:39:44.298 |V| Server                        | ServerSocket-UnityServer-Receiver:237 | ServerSocket-UnityServer : connected
10:39:44.331 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:237 | RESUME :: state=AsyncProcessing
10:39:45.845 |V| Launcher                      | :1                 | Ready!
10:39:56.249 |V| Base                          | :1                 | closing server socket
10:39:56.269 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:39:56.272 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:39:56.272 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:39:56.273 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:39:56.275 |V| Server                        | ServerSocket-UnityServer-Receiver:237 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:39:56.279 |V| Server                        | ServerSocket-UnityServer-Receiver:237 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
10:39:56.281 |V| Server                        | ServerSocket-UnityServer-Receiver:237 | ServerSocket-UnityServer: terminated.
10:39:56.282 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:40:04.847 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:40:04.869 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:40:04.909 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:40:04.960 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49905
10:40:04.963 |V| Server                        | ServerSocket-UnityServer-Receiver:246 | ServerSocket-UnityServer : accepting, port: 49905
10:40:05.736 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:40:05.740 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:40:05.747 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:40:05.748 |I| Launcher                      | :1                 | Subscribing for events
10:40:05.780 |I| Launcher                      | :1                 | Start running backend
10:40:05.786 |V| Launcher                      | :1                 | Waiting connection...
10:40:06.382 |V| Server                        | ServerSocket-UnityServer-Receiver:246 | ServerSocket-UnityServer : accepted
10:40:06.383 |V| Server                        | ServerSocket-UnityServer-Receiver:246 | ServerSocket-UnityServer : connected
10:40:06.427 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:246 | RESUME :: state=AsyncProcessing
10:40:07.957 |V| Launcher                      | :1                 | Ready!
10:45:15.484 |V| Base                          | :1                 | closing server socket
10:45:15.505 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:45:15.507 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:45:15.507 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:45:15.509 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:45:15.510 |V| Server                        | ServerSocket-UnityServer-Receiver:246 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:45:15.512 |V| Server                        | ServerSocket-UnityServer-Receiver:246 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1283
10:45:15.515 |V| Server                        | ServerSocket-UnityServer-Receiver:246 | ServerSocket-UnityServer: terminated.
10:45:15.515 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:45:21.752 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:45:21.775 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:45:21.806 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:45:21.853 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49927
10:45:21.856 |V| Server                        | ServerSocket-UnityServer-Receiver:256 | ServerSocket-UnityServer : accepting, port: 49927
10:45:23.775 |V| Server                        | ServerSocket-UnityServer-Receiver:256 | ServerSocket-UnityServer : accepted
10:45:23.776 |V| Server                        | ServerSocket-UnityServer-Receiver:256 | ServerSocket-UnityServer : connected
10:45:23.817 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:256 | RESUME :: state=AsyncProcessing
10:45:25.847 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:45:25.850 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:45:25.854 |I| Launcher                      | :1                 | Creating Root ScriptableObject
